hd73256,0.037,1.85,1.05,3.54913
hd83443,0.04,0.41,0.79,2.55294
hd46375,0.04,0.25,1,2.00125
hd179949,0.04,0.98,1.24,2.93712
hd187123,0.04,0.51,1.06,2.48929
tauboo,0.05,4.13,1.3,5.83755
bd-103166,0.05,0.48,1.1,3.01195
hd75289,0.05,0.44,1.15,2.88281
hd209458,0.05,0.67,1.05,3.41869
51peg,0.05,0.46,1.06,3.00641
upsandb,0.059,0.69,1.3,3.79386
hd68988,0.07,1.92,1.2,6.50226
hd217107,0.07,1.3,0.98,6.10844
hd162020,0.074,14.4,0.7,16.1031
hd130322,0.088,1.02,0.89,7.31385
hd38529b,0.129,0.78,1.39,8.4504
55cncb,0.115,0.84,1.03,8.53307
gj86,0.11,4.01,0.86,14.5948
hd195019,0.14,3.57,1.02,16.8814
hd6434,0.15,0.48,0.99,9.35882
hd192263,0.15,0.75,0.79,11.7084
gj876c,0.13,0.56,0.32,12.4418
rhocrb,0.22,1.04,0.95,18.0075
hd74156b,0.28,1.61,1.05,25.6427
hd168443b,0.295,7.73,1.01,46.1706
gj876b,0.21,1.89,0.32,30.1472
hd121504,0.32,0.89,1.02,24.2851
hd178911,0.326,6.46,0.9,49.9426
hd114762,0.35,11.03,0.82,66.1066
70vir,0.48,7.44,1.1,72.0928
hd216770,0.46,0.7,0.9,33.5972
hd52265,0.49,1,1.13,37.362
hd1237,0.505,3.45,0.96,61.4326
hd73526,0.65,2.98,1.02,73.7979
hd82943c,0.728,0.88,1.05,54.5117
hd8574,0.77,2.04,1.1,75.1327
hd169830,0.82,2.94,1.4,83.3961
upsandc,0.829,1.89,1.3,74.5853
hd202206,0.83,17.5,0.9,177.255
hd89744,0.89,7.99,1.4,126.315
hd134987,0.81,1.55,1.05,73.2474
hd12661b,0.82,2.3,1.07,84.0467
hd150706,0.82,1,0.98,65.564
hd40979,0.811,3.32,1.08,93.6521
hd17051,0.91,1.94,1.03,89.2528
hd92788,0.95,3.31,1.07,109.934
hd142,0.97,1.07,1.1,76.33
hd88133,0.047,0.22,1.2,2.12051
hd330075,0.043,0.76,0.95,3.17024
