Coefficient,Nodes,Links,Diameter,Density,Average Path Length,Mode,Giant Cluster Density,% Nodes in Giant
0.22,36,47,5,0.0746031746031746,1.9090909090909092,4.9032442489800001,0.36363636363636365,0.3333333333333333
0.44,36,83,3,0.13174603174603172,1.2190476190476192,2.5474327909599999,0.696969696969697,0.3333333333333333
0.66000000000000003,36,104,9,0.16507936507936508,3.3710526315789475,2.5474327909599999,0.2698412698412698,0.7777777777777778
0.87,36,129,6,0.20476190476190478,2.5605263157894735,2.8949136640099997,0.335978835978836,0.7777777777777778
1.0900000000000001,36,165,5,0.26190476190476186,2.0,2.8949136640099997,0.42063492063492064,0.7777777777777778
1.3100000000000001,36,202,4,0.3206349206349206,1.6658097686375322,3.7851060218099999,0.5105820105820106,0.7777777777777778
1.53,36,223,3,0.353968253968254,1.5218508997429305,3.4275055077399998,0.5661375661375662,0.7777777777777778
1.75,36,246,4,0.3904761904761905,1.4385964912280702,3.8872540580400003,0.6216931216931216,0.7777777777777778
1.97,36,262,4,0.4158730158730159,1.380952380952381,3.8872540580400003,0.664021164021164,0.7777777777777778
2.1899999999999999,36,286,3,0.45396825396825397,1.305764411027569,3.7851060218099999,0.7222222222222222,0.7777777777777778
