Coefficient,0.40999999999999998
Nodes,47
Diameter,10
Giant Cluster Density,0.2482758620689655
% Nodes in Giant Cluster,0.6382978723404256
Mode Value,3.0610176044700004
Mode Name,4

Name,Value,Degree
0,3.1378289940599995,11
1,8.6351789170700002,4
2,2.6950048259099995,10
3,15.496228633699999,0
4,3.0610176044700004,12
5,5.3158562054100003,3
6,3.6282271510199999,5
7,6.6999262322200002,2
8,7.649845140830001,0
9,10.674174215100001,0
10,4.3518233087900002,3
11,8.7657904807999998,5
12,15.9314828075,0
13,3.18430939967,10
14,5.506660212309999,2
15,2.63549745591,10
16,11.238816690999998,0
17,16.433662217999998,0
18,1.9555144214500002,4
19,6.4339386431100003,2
20,12.4094399822,0
21,2.7673638648200001,11
22,9.0799486957300015,2
23,5.0292701739999996,2
24,2.9922789612299998,12
25,8.5070720882900002,3
26,1.9810567068599998,4
27,2.2526555523800003,5
28,8.9604815794100006,4
29,6.4265098639799998,2
30,3.56822791489,7
31,2.7678719726599996,11
32,2.36382014413,8
33,2.9464235566100001,11
34,2.3472560494099999,6
35,8.6435699706199998,4
36,4.6716632227800003,2
37,3.9739931168699996,5
38,3.3901732144399999,9
39,3.4088490880699998,8
40,3.1666228233999996,12
41,3.76572491751,6
42,4.09788897423,3
43,20.841514745400001,0
44,2.9095712754400003,11
45,2.80380623903,11
46,5.5350228965800001,2
