Coefficient,1.8700000000000001
Nodes,27
Diameter,3
Giant Cluster Density,0.6485507246376812
% Nodes in Giant Cluster,0.8888888888888888
Mode Value,3.7851060218099999
Mode Name,4

Name,Value,Degree
0,2.8949136640099997,18
1,2.6937351682999999,15
2,5.7809743611500002,7
3,2.5474327909599999,15
4,3.7851060218099999,21
5,2.7431105831200004,15
6,3.8872540580400003,20
7,2.1701781677600001,15
8,4.8469245792699995,12
9,10.213883429800001,1
10,2.5184373453599997,15
11,3.4275055077399998,20
12,4.9032442489800001,12
13,4.7204660284400006,13
14,2.6875846911400001,15
15,4.743788103,13
16,2.2301221606200001,15
17,6.2843455054900001,7
18,1.9559817337000001,14
19,2.4657672492099998,15
20,3.7480160854100002,21
21,5.5416935148800004,11
22,4.6973758001199997,13
23,10.0438283688,1
24,12.855873577400001,0
25,3.70808207931,21
26,2.3105072548000001,15
