Coefficient,0.45000000000000001
Nodes,52
Diameter,10
Giant Cluster Density,0.29838709677419356
% Nodes in Giant Cluster,0.6153846153846154
Mode Value,3.2006091756299995
Mode Name,32

Name,Value,Degree
0,10.821401894899999,1
1,3.5441131504000003,11
2,1.9775602204700002,2
3,3.6247607891400002,10
4,9.27675631392,2
5,3.87100727828,5
6,12.3827927459,0
7,3.32119518393,13
8,3.0637908565599994,14
9,3.3974985529600001,13
10,2.7817592611999999,13
11,10.674174215100001,1
12,3.16226111282,15
13,8.6312339873199999,4
14,2.3680816008600001,8
15,3.4085230277599998,12
16,9.2104556715699992,3
17,11.763502488399999,0
18,2.7524765741299997,13
19,3.0546979162199999,14
20,2.4902556140500001,7
21,2.7725232936099999,13
22,3.9916457732400001,6
23,2.6576034643799997,10
24,8.7387464275699998,4
25,5.3317520933199996,4
26,2.1051980984699998,3
27,3.6383115978400005,9
28,5.4792673938100007,3
29,8.7657904807999998,5
30,2.9863124426400001,14
31,7.902823120239999,0
32,3.2006091756299995,17
33,5.0292701739999996,4
34,4.6716632227800003,3
35,6.4168739369900001,1
36,2.7963383428599999,13
37,8.9764214094100012,6
38,4.3978588034800001,2
39,6.49722565233,1
40,2.9490798552900004,13
41,24.190738891199999,0
42,3.5688514905500002,11
43,16.6004353971,0
44,20.671005110300001,1
45,3.1881201998199997,16
46,15.377803365999998,0
47,8.6477210838600005,4
48,5.6186513326499998,2
49,11.3024508755,0
50,20.353827357899998,1
51,4.9497383465900002,3
